Expanded Polystyrene (EPS)_thickness(m)	mineral_wool_thickness(m)	Polyurethane (PUR)_thickness(m)	R(m²K/W)
0.000	0.000	0.400	16.000
0.000	0.020	0.380	15.756
0.000	0.040	0.360	15.511
0.000	0.060	0.340	15.267
0.000	0.080	0.320	15.022
0.000	0.100	0.300	14.778
0.000	0.120	0.280	14.533
0.000	0.140	0.260	14.289
0.000	0.160	0.240	14.044
0.000	0.180	0.220	13.800
0.000	0.200	0.200	13.556
0.000	0.220	0.180	13.311
0.000	0.240	0.160	13.067
0.000	0.260	0.140	12.822
0.000	0.280	0.120	12.578
0.000	0.300	0.100	12.333
0.000	0.320	0.080	12.089
0.000	0.340	0.060	11.844
0.000	0.360	0.040	11.600
0.000	0.380	0.020	11.356
0.000	0.400	0.000	11.111
0.020	0.000	0.380	15.771
0.020	0.020	0.360	15.527
0.020	0.040	0.340	15.283
0.020	0.060	0.320	15.038
0.020	0.080	0.300	14.794
0.020	0.100	0.280	14.549
0.020	0.120	0.260	14.305
0.020	0.140	0.240	14.060
0.020	0.160	0.220	13.816
0.020	0.180	0.200	13.571
0.020	0.200	0.180	13.327
0.020	0.220	0.160	13.083
0.020	0.240	0.140	12.838
0.020	0.260	0.120	12.594
0.020	0.280	0.100	12.349
0.020	0.300	0.080	12.105
0.020	0.320	0.060	11.860
0.020	0.340	0.040	11.616
0.020	0.360	0.020	11.371
0.020	0.380	0.000	11.127
0.040	0.000	0.360	15.543
0.040	0.020	0.340	15.298
0.040	0.040	0.320	15.054
0.040	0.060	0.300	14.810
0.040	0.080	0.280	14.565
0.040	0.100	0.260	14.321
0.040	0.120	0.240	14.076
0.040	0.140	0.220	13.832
0.040	0.160	0.200	13.587
0.040	0.180	0.180	13.343
0.040	0.200	0.160	13.098
0.040	0.220	0.140	12.854
0.040	0.240	0.120	12.610
0.040	0.260	0.100	12.365
0.040	0.280	0.080	12.121
0.040	0.300	0.060	11.876
0.040	0.320	0.040	11.632
0.040	0.340	0.020	11.387
0.040	0.360	0.000	11.143
0.060	0.000	0.340	15.314
0.060	0.020	0.320	15.070
0.060	0.040	0.300	14.825
0.060	0.060	0.280	14.581
0.060	0.080	0.260	14.337
0.060	0.100	0.240	14.092
0.060	0.120	0.220	13.848
0.060	0.140	0.200	13.603
0.060	0.160	0.180	13.359
0.060	0.180	0.160	13.114
0.060	0.200	0.140	12.870
0.060	0.220	0.120	12.625
0.060	0.240	0.100	12.381
0.060	0.260	0.080	12.137
0.060	0.280	0.060	11.892
0.060	0.300	0.040	11.648
0.060	0.320	0.020	11.403
0.060	0.340	0.000	11.159
0.080	0.000	0.320	15.086
0.080	0.020	0.300	14.841
0.080	0.040	0.280	14.597
0.080	0.060	0.260	14.352
0.080	0.080	0.240	14.108
0.080	0.100	0.220	13.863
0.080	0.120	0.200	13.619
0.080	0.140	0.180	13.375
0.080	0.160	0.160	13.130
0.080	0.180	0.140	12.886
0.080	0.200	0.120	12.641
0.080	0.220	0.100	12.397
0.080	0.240	0.080	12.152
0.080	0.260	0.060	11.908
0.080	0.280	0.040	11.663
0.080	0.300	0.020	11.419
0.080	0.320	0.000	11.175
0.100	0.000	0.300	14.857
0.100	0.020	0.280	14.613
0.100	0.040	0.260	14.368
0.100	0.060	0.240	14.124
0.100	0.080	0.220	13.879
0.100	0.100	0.200	13.635
0.100	0.120	0.180	13.390
0.100	0.140	0.160	13.146
0.100	0.160	0.140	12.902
0.100	0.180	0.120	12.657
0.100	0.200	0.100	12.413
0.100	0.220	0.080	12.168
0.100	0.240	0.060	11.924
0.100	0.260	0.040	11.679
0.100	0.280	0.020	11.435
0.100	0.300	0.000	11.190
0.120	0.000	0.280	14.629
0.120	0.020	0.260	14.384
0.120	0.040	0.240	14.140
0.120	0.060	0.220	13.895
0.120	0.080	0.200	13.651
0.120	0.100	0.180	13.406
0.120	0.120	0.160	13.162
0.120	0.140	0.140	12.917
0.120	0.160	0.120	12.673
0.120	0.180	0.100	12.429
0.120	0.200	0.080	12.184
0.120	0.220	0.060	11.940
0.120	0.240	0.040	11.695
0.120	0.260	0.020	11.451
0.120	0.280	0.000	11.206
0.140	0.000	0.260	14.400
0.140	0.020	0.240	14.156
0.140	0.040	0.220	13.911
0.140	0.060	0.200	13.667
0.140	0.080	0.180	13.422
0.140	0.100	0.160	13.178
0.140	0.120	0.140	12.933
0.140	0.140	0.120	12.689
0.140	0.160	0.100	12.444
0.140	0.180	0.080	12.200
0.140	0.200	0.060	11.956
0.140	0.220	0.040	11.711
0.140	0.240	0.020	11.467
0.140	0.260	0.000	11.222
0.160	0.000	0.240	14.171
0.160	0.020	0.220	13.927
0.160	0.040	0.200	13.683
0.160	0.060	0.180	13.438
0.160	0.080	0.160	13.194
0.160	0.100	0.140	12.949
0.160	0.120	0.120	12.705
0.160	0.140	0.100	12.460
0.160	0.160	0.080	12.216
0.160	0.180	0.060	11.971
0.160	0.200	0.040	11.727
0.160	0.220	0.020	11.483
0.160	0.240	0.000	11.238
0.180	0.000	0.220	13.943
0.180	0.020	0.200	13.698
0.180	0.040	0.180	13.454
0.180	0.060	0.160	13.210
0.180	0.080	0.140	12.965
0.180	0.100	0.120	12.721
0.180	0.120	0.100	12.476
0.180	0.140	0.080	12.232
0.180	0.160	0.060	11.987
0.180	0.180	0.040	11.743
0.180	0.200	0.020	11.498
0.180	0.220	0.000	11.254
0.200	0.000	0.200	13.714
0.200	0.020	0.180	13.470
0.200	0.040	0.160	13.225
0.200	0.060	0.140	12.981
0.200	0.080	0.120	12.737
0.200	0.100	0.100	12.492
0.200	0.120	0.080	12.248
0.200	0.140	0.060	12.003
0.200	0.160	0.040	11.759
0.200	0.180	0.020	11.514
0.200	0.200	0.000	11.270
0.220	0.000	0.180	13.486
0.220	0.020	0.160	13.241
0.220	0.040	0.140	12.997
0.220	0.060	0.120	12.752
0.220	0.080	0.100	12.508
0.220	0.100	0.080	12.263
0.220	0.120	0.060	12.019
0.220	0.140	0.040	11.775
0.220	0.160	0.020	11.530
0.220	0.180	0.000	11.286
0.240	0.000	0.160	13.257
0.240	0.020	0.140	13.013
0.240	0.040	0.120	12.768
0.240	0.060	0.100	12.524
0.240	0.080	0.080	12.279
0.240	0.100	0.060	12.035
0.240	0.120	0.040	11.790
0.240	0.140	0.020	11.546
0.240	0.160	0.000	11.302
0.260	0.000	0.140	13.029
0.260	0.020	0.120	12.784
0.260	0.040	0.100	12.540
0.260	0.060	0.080	12.295
0.260	0.080	0.060	12.051
0.260	0.100	0.040	11.806
0.260	0.120	0.020	11.562
0.260	0.140	0.000	11.317
0.280	0.000	0.120	12.800
0.280	0.020	0.100	12.556
