Expanded Polystyrene (EPS)_thickness(m),mineral_wool_thickness(m),Polyurethane (PUR)_thickness(m),R(m²K/W),Total_Cost
0.05,0.05,0.05,4.817,1092.0
0.05,0.05,0.056,5.04,1162.2
0.05,0.05,0.061,5.262,1220.7
0.05,0.05,0.067,5.484,1290.9
0.05,0.05,0.072,5.706,1349.3999999999999
0.05,0.05,0.078,5.929,1419.6
0.05,0.05,0.083,6.151,1478.1000000000001
0.05,0.05,0.089,6.373,1548.3000000000002
0.05,0.05,0.094,6.595,1606.8000000000002
0.05,0.05,0.1,6.817,1677.0
0.05,0.056,0.05,4.972,1120.08
0.05,0.056,0.056,5.194,1190.28
0.05,0.056,0.061,5.416,1248.7799999999997
0.05,0.056,0.067,5.638,1318.98
0.05,0.056,0.072,5.861,1377.4799999999998
0.05,0.056,0.078,6.083,1447.6799999999998
0.05,0.056,0.083,6.305,1506.1800000000003
0.05,0.056,0.089,6.527,1576.38
0.05,0.056,0.094,6.75,1634.88
0.05,0.056,0.1,6.972,1705.08
0.05,0.061,0.05,5.126,1143.48
0.05,0.061,0.056,5.348,1213.68
0.05,0.061,0.061,5.571,1272.1800000000003
0.05,0.061,0.067,5.793,1342.38
0.05,0.061,0.072,6.015,1400.88
0.05,0.061,0.078,6.237,1471.08
0.05,0.061,0.083,6.459,1529.58
0.05,0.061,0.089,6.682,1599.7799999999997
0.05,0.061,0.094,6.904,1658.2799999999997
0.05,0.061,0.1,7.126,1728.48
0.05,0.067,0.05,5.28,1171.56
0.05,0.067,0.056,5.503,1241.7600000000002
0.05,0.067,0.061,5.725,1300.2600000000002
0.05,0.067,0.067,5.947,1370.46
0.05,0.067,0.072,6.169,1428.96
0.05,0.067,0.078,6.392,1499.1599999999999
0.05,0.067,0.083,6.614,1557.66
0.05,0.067,0.089,6.836,1627.8600000000001
0.05,0.067,0.094,7.058,1686.3600000000001
0.05,0.067,0.1,7.28,1756.56
0.05,0.072,0.05,5.435,1194.96
0.05,0.072,0.056,5.657,1265.1599999999999
0.05,0.072,0.061,5.879,1323.6599999999999
0.05,0.072,0.067,6.101,1393.8600000000001
0.05,0.072,0.072,6.324,1452.36
0.05,0.072,0.078,6.546,1522.56
0.05,0.072,0.083,6.768,1581.06
0.05,0.072,0.089,6.99,1651.2599999999998
0.05,0.072,0.094,7.213,1709.7599999999998
0.05,0.072,0.1,7.435,1779.96
0.05,0.078,0.05,5.589,1223.04
0.05,0.078,0.056,5.811,1293.2399999999998
0.05,0.078,0.061,6.034,1351.7399999999998
