Expanded Polystyrene (EPS)_thickness(m)	mineral_wool_thickness(m)	R(m²K/W)
0.050	0.050	2.817
0.050	0.054	2.917
0.050	0.057	3.016
0.050	0.061	3.115
0.050	0.064	3.214
0.050	0.068	3.313
0.050	0.071	3.413
0.050	0.075	3.512
0.050	0.079	3.611
0.050	0.082	3.710
0.050	0.086	3.810
0.050	0.089	3.909
0.050	0.093	4.008
0.050	0.096	4.107
0.050	0.100	4.206
0.061	0.050	3.124
0.061	0.054	3.223
0.061	0.057	3.322
0.061	0.061	3.421
0.061	0.064	3.520
0.061	0.068	3.620
0.061	0.071	3.719
0.061	0.075	3.818
0.061	0.079	3.917
0.061	0.082	4.016
0.061	0.086	4.116
0.061	0.089	4.215
0.061	0.093	4.314
0.061	0.096	4.413
0.061	0.100	4.512
0.071	0.050	3.430
0.071	0.054	3.529
0.071	0.057	3.628
0.071	0.061	3.727
0.071	0.064	3.827
0.071	0.068	3.926
0.071	0.071	4.025
0.071	0.075	4.124
0.071	0.079	4.223
0.071	0.082	4.323
0.071	0.086	4.422
0.071	0.089	4.521
0.071	0.093	4.620
0.071	0.096	4.719
0.071	0.100	4.819
0.082	0.050	3.736
0.082	0.054	3.835
0.082	0.057	3.934
0.082	0.061	4.033
0.082	0.064	4.133
0.082	0.068	4.232
0.082	0.071	4.331
0.082	0.075	4.430
0.082	0.079	4.529
0.082	0.082	4.629
0.082	0.086	4.728
0.082	0.089	4.827
0.082	0.093	4.926
0.082	0.096	5.026
0.082	0.100	5.125
0.093	0.050	4.042
0.093	0.054	4.141
0.093	0.057	4.240
0.093	0.061	4.340
0.093	0.064	4.439
0.093	0.068	4.538
0.093	0.071	4.637
0.093	0.075	4.736
0.093	0.079	4.836
0.093	0.082	4.935
0.093	0.086	5.034
0.093	0.089	5.133
0.093	0.093	5.232
0.093	0.096	5.332
0.093	0.100	5.431
0.104	0.050	4.348
0.104	0.054	4.447
0.104	0.057	4.546
0.104	0.061	4.646
0.104	0.064	4.745
0.104	0.068	4.844
0.104	0.071	4.943
0.104	0.075	5.043
0.104	0.079	5.142
0.104	0.082	5.241
0.104	0.086	5.340
0.104	0.089	5.439
0.104	0.093	5.539
0.104	0.096	5.638
0.104	0.100	5.737
0.114	0.050	4.654
0.114	0.054	4.753
0.114	0.057	4.853
0.114	0.061	4.952
0.114	0.064	5.051
0.114	0.068	5.150
0.114	0.071	5.249
0.114	0.075	5.349
0.114	0.079	5.448
0.114	0.082	5.547
0.114	0.086	5.646
0.114	0.089	5.745
0.114	0.093	5.845
0.114	0.096	5.944
0.114	0.100	6.043
0.125	0.050	4.960
0.125	0.054	5.060
0.125	0.057	5.159
0.125	0.061	5.258
0.125	0.064	5.357
0.125	0.068	5.456
0.125	0.071	5.556
0.125	0.075	5.655
0.125	0.079	5.754
0.125	0.082	5.853
0.125	0.086	5.952
0.125	0.089	6.052
0.125	0.093	6.151
0.125	0.096	6.250
0.125	0.100	6.349
0.136	0.050	5.266
0.136	0.054	5.366
0.136	0.057	5.465
0.136	0.061	5.564
0.136	0.064	5.663
0.136	0.068	5.762
0.136	0.071	5.862
0.136	0.075	5.961
0.136	0.079	6.060
0.136	0.082	6.159
0.136	0.086	6.259
0.136	0.089	6.358
0.136	0.093	6.457
0.136	0.096	6.556
0.136	0.100	6.655
0.146	0.050	5.573
0.146	0.054	5.672
0.146	0.057	5.771
0.146	0.061	5.870
0.146	0.064	5.969
0.146	0.068	6.069
0.146	0.071	6.168
0.146	0.075	6.267
0.146	0.079	6.366
0.146	0.082	6.465
0.146	0.086	6.565
0.146	0.089	6.664
0.146	0.093	6.763
0.146	0.096	6.862
0.146	0.100	6.961
0.157	0.050	5.879
0.157	0.054	5.978
0.157	0.057	6.077
0.157	0.061	6.176
0.157	0.064	6.276
0.157	0.068	6.375
0.157	0.071	6.474
0.157	0.075	6.573
0.157	0.079	6.672
0.157	0.082	6.772
0.157	0.086	6.871
0.157	0.089	6.970
0.157	0.093	7.069
0.157	0.096	7.168
0.157	0.100	7.268
0.168	0.050	6.185
0.168	0.054	6.284
0.168	0.057	6.383
0.168	0.061	6.482
0.168	0.064	6.582
0.168	0.068	6.681
0.168	0.071	6.780
0.168	0.075	6.879
0.168	0.079	6.978
0.168	0.082	7.078
0.168	0.086	7.177
0.168	0.089	7.276
0.168	0.093	7.375
0.168	0.096	7.474
0.168	0.100	7.574
0.179	0.050	6.491
0.179	0.054	6.590
0.179	0.057	6.689
0.179	0.061	6.789
0.179	0.064	6.888
0.179	0.068	6.987
0.179	0.071	7.086
0.179	0.075	7.185
0.179	0.079	7.285
0.179	0.082	7.384
0.179	0.086	7.483
0.179	0.089	7.582
0.179	0.093	7.681
0.179	0.096	7.781
0.179	0.100	7.880
0.189	0.050	6.797
0.189	0.054	6.896
0.189	0.057	6.995
0.189	0.061	7.095
0.189	0.064	7.194
0.189	0.068	7.293
0.189	0.071	7.392
0.189	0.075	7.491
0.189	0.079	7.591
0.189	0.082	7.690
0.189	0.086	7.789
0.189	0.089	7.888
0.189	0.093	7.988
0.189	0.096	8.087
0.189	0.100	8.186
0.200	0.050	7.103
0.200	0.054	7.202
0.200	0.057	7.302
0.200	0.061	7.401
0.200	0.064	7.500
0.200	0.068	7.599
0.200	0.071	7.698
0.200	0.075	7.798
0.200	0.079	7.897
0.200	0.082	7.996
0.200	0.086	8.095
0.200	0.089	8.194
0.200	0.093	8.294
0.200	0.096	8.393
0.200	0.100	8.492
