Expanded Polystyrene (EPS)_thickness(m)	mineral_wool_thickness(m)	Polyurethane (PUR)_thickness(m)	R(m²K/W)
0.050	0.050	0.050	4.817
0.050	0.050	0.056	5.040
0.050	0.050	0.061	5.262
0.050	0.050	0.067	5.484
0.050	0.050	0.072	5.706
0.050	0.050	0.078	5.929
0.050	0.050	0.083	6.151
0.050	0.050	0.089	6.373
0.050	0.050	0.094	6.595
0.050	0.050	0.100	6.817
0.050	0.056	0.050	4.972
0.050	0.056	0.056	5.194
0.050	0.056	0.061	5.416
0.050	0.056	0.067	5.638
0.050	0.056	0.072	5.861
0.050	0.056	0.078	6.083
0.050	0.056	0.083	6.305
0.050	0.056	0.089	6.527
0.050	0.056	0.094	6.750
0.050	0.056	0.100	6.972
0.050	0.061	0.050	5.126
0.050	0.061	0.056	5.348
0.050	0.061	0.061	5.571
0.050	0.061	0.067	5.793
0.050	0.061	0.072	6.015
0.050	0.061	0.078	6.237
0.050	0.061	0.083	6.459
0.050	0.061	0.089	6.682
0.050	0.061	0.094	6.904
0.050	0.061	0.100	7.126
0.050	0.067	0.050	5.280
0.050	0.067	0.056	5.503
0.050	0.067	0.061	5.725
0.050	0.067	0.067	5.947
0.050	0.067	0.072	6.169
0.050	0.067	0.078	6.392
0.050	0.067	0.083	6.614
0.050	0.067	0.089	6.836
0.050	0.067	0.094	7.058
0.050	0.067	0.100	7.280
0.050	0.072	0.050	5.435
0.050	0.072	0.056	5.657
0.050	0.072	0.061	5.879
0.050	0.072	0.067	6.101
0.050	0.072	0.072	6.324
0.050	0.072	0.078	6.546
0.050	0.072	0.083	6.768
0.050	0.072	0.089	6.990
0.050	0.072	0.094	7.213
0.050	0.072	0.100	7.435
0.050	0.078	0.050	5.589
0.050	0.078	0.056	5.811
0.050	0.078	0.061	6.034
0.050	0.078	0.067	6.256
0.050	0.078	0.072	6.478
0.050	0.078	0.078	6.700
0.050	0.078	0.083	6.922
0.050	0.078	0.089	7.145
0.050	0.078	0.094	7.367
0.050	0.078	0.100	7.589
0.050	0.083	0.050	5.743
0.050	0.083	0.056	5.966
0.050	0.083	0.061	6.188
0.050	0.083	0.067	6.410
0.050	0.083	0.072	6.632
0.050	0.083	0.078	6.854
0.050	0.083	0.083	7.077
0.050	0.083	0.089	7.299
0.050	0.083	0.094	7.521
0.050	0.083	0.100	7.743
0.050	0.089	0.050	5.898
0.050	0.089	0.056	6.120
0.050	0.089	0.061	6.342
0.050	0.089	0.067	6.564
0.050	0.089	0.072	6.787
0.050	0.089	0.078	7.009
0.050	0.089	0.083	7.231
0.050	0.089	0.089	7.453
0.050	0.089	0.094	7.675
0.050	0.089	0.100	7.898
0.050	0.094	0.050	6.052
0.050	0.094	0.056	6.274
0.050	0.094	0.061	6.496
0.050	0.094	0.067	6.719
0.050	0.094	0.072	6.941
0.050	0.094	0.078	7.163
0.050	0.094	0.083	7.385
0.050	0.094	0.089	7.608
0.050	0.094	0.094	7.830
0.050	0.094	0.100	8.052
0.050	0.100	0.050	6.206
0.050	0.100	0.056	6.429
0.050	0.100	0.061	6.651
0.050	0.100	0.067	6.873
0.050	0.100	0.072	7.095
0.050	0.100	0.078	7.317
0.050	0.100	0.083	7.540
0.050	0.100	0.089	7.762
0.050	0.100	0.094	7.984
0.050	0.100	0.100	8.206
0.067	0.050	0.050	5.294
0.067	0.050	0.056	5.516
0.067	0.050	0.061	5.738
0.067	0.050	0.067	5.960
0.067	0.050	0.072	6.183
0.067	0.050	0.078	6.405
0.067	0.050	0.083	6.627
0.067	0.050	0.089	6.849
0.067	0.050	0.094	7.071
0.067	0.050	0.100	7.294
0.067	0.056	0.050	5.448
0.067	0.056	0.056	5.670
